Consumer Confidence Index,cpi,"Interest Rates, Government Securities, Bonds",M3 for India,Global WTI crude price,"Recesssion Yes=1, No=0"
98.50125,127.0003,5.8880,129983800000000.00,38.3145,1
98.80422,128.5304,5.8370,131090400000000.00,40.7152,1
98.96999,129.2955,6.0780,132580900000000.00,42.3710,1
99.08098,130.1179,6.0150,133740800000000.00,39.5982,1
99.22149,131.6603,5.8810,134502900000000.00,39.4050,1
99.55471,132.1010,5.9110,135276100000000.00,41.3890,1
99.89304,130.8891,5.8940,136004600000000.00,47.0704,1
100.0878,130.2280,5.9490,136663000000000.00,51.8495,0
100.2549,131.1094,6.2290,137352200000000.00,59.2345,0
100.5656,131.7705,6.1770,137783600000000.00,62.1839,0
100.9202,132.3214,6.0300,138117000000000.00,61.4177,0
101.2449,132.8723,6.0220,138489700000000.00,65.1610,0
101.4264,134.0842,6.0510,139517900000000.00,71.3773,0
101.2328,135.2961,6.2040,141260500000000.00,72.5918,0
100.9417,135.5165,6.2150,142442800000000.00,67.8723,0
100.609,135.8470,6.2230,143835300000000.00,71.5350,0
100.0848,137.6098,6.3880,145317400000000.00,81.3643,0
99.57751,138.4912,6.3260,145317400000000.00,79.0955,0
99.31055,138.1607,6.4540,147883700000000.00,71.8022,0
99.04632,137.8302,6.6840,148928700000000.00,83.2776,0
98.55559,137.7200,6.7700,149203300000000.00,91.6080,0
97.9251,138.8218,6.8430,150091400000000.00,108.3991,0
97.49888,140.6948,7.1390,151144800000000.00,101.9852,0
97.33739,142.1270,7.4150,152251500000000.00,109.7127,0
97.12327,142.3474,7.4500,153554300000000.00,114.6759,0
96.91561,143.1186,7.3200,154604900000000.00,101.9181,0
96.59775,143.4492,7.1880,155224100000000.00,93.6926,0
96.30183,144.6611,7.3980,155434200000000.00,84.4000,0
96.39405,145.9832,7.4450,155946900000000.00,87.2867,0
96.77289,145.9832,7.2800,156958300000000.00,84.0764,0
97.26849,145.7629,7.3270,157947300000000.00,76.5818,0
97.72659,146.3137,7.3430,159000700000000.00,78.2514,0
98.16353,146.2036,7.4570,159659100000000.00,77.0275,0
98.40943,146.8646,7.3150,160236300000000.00,73.3483,0
